id,order_id,product_id,quantity,unit_price,line_total
1,1,113,1,466.35,466.35
2,1,79,1,431.75,431.75
3,2,6,2,419.08,838.16
4,2,129,1,178.0,178.0
5,3,5,2,423.7,847.4
6,3,67,2,311.01,622.02
7,3,138,1,134.72,134.72
8,4,120,1,196.08,196.08
9,4,17,3,341.0,1023.0
10,4,72,3,474.33,1422.99
11,5,58,3,449.02,1347.06
12,5,177,3,170.37,511.11
13,5,75,3,21.04,63.12
14,5,129,2,178.0,356.0
15,5,82,2,342.07,684.14
16,6,133,2,178.04,356.08
17,6,121,1,42.02,42.02
18,6,176,1,178.07,178.07
19,7,195,2,480.1,960.2
20,7,7,3,441.77,1325.31
21,8,150,3,179.22,537.66
22,9,12,2,366.85,733.7
23,9,52,1,147.99,147.99
24,9,138,3,134.72,404.16
25,10,157,1,137.91,137.91
26,10,147,1,368.22,368.22
27,10,107,3,425.5,1276.5
28,10,93,1,261.86,261.86
29,11,9,1,429.13,429.13
30,11,197,2,137.52,275.04
31,11,42,1,495.72,495.72
32,11,51,2,93.23,186.46
33,11,1,1,147.7,147.7
34,12,38,1,328.65,328.65
35,13,173,2,178.5,357.0
36,13,112,2,207.43,414.86
37,13,99,3,468.55,1405.65
38,14,126,2,264.85,529.7
39,14,182,3,207.05,621.15
40,14,16,1,249.01,249.01
41,14,157,2,137.91,275.82
42,15,74,2,389.64,779.28
43,15,30,1,35.43,35.43
44,15,60,2,471.21,942.42
45,15,129,1,178.0,178.0
46,15,92,3,69.63,208.89
47,16,153,2,194.31,388.62
48,16,125,1,43.74,43.74
49,16,74,3,389.64,1168.92
50,16,124,2,79.78,159.56
51,17,19,3,356.82,1070.46
52,18,111,2,462.31,924.62
53,19,33,1,470.13,470.13
54,20,169,3,393.4,1180.2
55,20,125,2,43.74,87.48
56,20,32,2,41.58,83.16
57,20,81,1,207.27,207.27
58,21,96,1,51.07,51.07
59,21,50,1,330.43,330.43
60,21,94,2,21.78,43.56
61,21,26,2,344.47,688.94
62,21,39,3,482.82,1448.46
63,22,183,3,152.63,457.89
64,22,106,1,424.66,424.66
65,22,22,1,115.39,115.39
66,22,198,3,217.54,652.62
67,22,159,2,411.07,822.14
68,23,97,3,212.44,637.32
69,23,3,2,317.36,634.72
70,24,73,2,95.98,191.96
71,24,119,2,241.54,483.08
72,24,71,3,142.99,428.97
73,25,145,3,125.32,375.96
74,25,184,1,453.06,453.06
75,26,19,1,356.82,356.82
76,27,13,1,79.51,79.51
77,28,179,2,352.52,705.04
78,29,57,3,93.55,280.65
79,29,55,3,416.67,1250.01
80,29,181,1,39.15,39.15
81,29,171,3,223.91,671.73
82,29,161,2,211.99,423.98
83,30,141,2,451.75,903.5
84,31,49,2,351.75,703.5
85,31,143,3,279.05,837.15
86,31,153,2,194.31,388.62
87,32,145,2,125.32,250.64
88,33,164,1,442.76,442.76
89,33,148,3,91.62,274.86
90,33,33,3,470.13,1410.39
91,33,195,3,480.1,1440.3
92,33,155,2,495.66,991.32
