id,user_id,created_at,total_amount,status,country,payment_method
1,832,2025-11-28 08:04:40,898.1,shipped,ITA,stripe
2,828,2025-11-28 08:03:28,1016.16,paid,DEU,paypal
3,685,2025-11-28 08:06:52,1604.14,shipped,FRA,stripe
4,453,2025-11-28 08:03:45,2642.07,paid,DEU,credit_card
5,291,2025-11-28 08:01:39,2961.43,delivered,DEU,stripe
6,463,2025-11-28 08:05:34,576.17,shipped,ITA,paypal
7,199,2025-11-28 08:03:12,2285.51,delivered,DEU,stripe
8,236,2025-11-28 08:02:57,537.66,paid,DEU,credit_card
9,193,2025-11-28 08:05:14,1285.85,pending,GBR,stripe
10,79,2025-11-28 08:04:28,2044.49,shipped,DEU,paypal
11,390,2025-11-28 08:06:31,1534.05,shipped,ESP,stripe
12,436,2025-11-28 08:03:40,328.65,paid,GBR,paypal
13,627,2025-11-28 08:06:44,2177.51,shipped,DEU,stripe
14,593,2025-11-28 08:01:53,1675.68,delivered,ITA,credit_card
15,669,2025-11-28 08:03:31,2144.02,shipped,USA,stripe
16,197,2025-11-28 08:05:34,1760.84,paid,ITA,paypal
17,110,2025-11-28 08:02:35,1070.46,shipped,ITA,stripe
18,182,2025-11-28 08:06:19,924.62,delivered,FRA,stripe
19,885,2025-11-28 08:03:38,470.13,paid,ESP,credit_card
20,246,2025-11-28 08:05:13,1558.11,paid,ITA,credit_card
21,645,2025-11-28 08:04:54,2562.46,paid,FRA,paypal
22,264,2025-11-28 08:06:39,2472.7,paid,USA,credit_card
23,900,2025-11-28 08:01:57,1272.04,delivered,DEU,credit_card
24,510,2025-11-28 08:06:22,1104.01,paid,ESP,paypal
25,907,2025-11-28 08:03:46,829.02,paid,DEU,stripe
26,975,2025-11-28 08:06:09,356.82,paid,ITA,paypal
27,97,2025-11-28 08:03:53,79.51,delivered,AUS,stripe
28,861,2025-11-28 08:07:08,705.04,paid,GBR,credit_card
29,862,2025-11-28 08:06:46,2665.52,cancelled,DEU,stripe
30,293,2025-11-28 08:07:06,903.5,shipped,AUS,credit_card
31,435,2025-11-28 08:02:53,1929.27,delivered,AUS,stripe
32,984,2025-11-28 08:05:12,250.64,shipped,ITA,stripe
33,450,2025-11-28 08:06:27,4559.63,delivered,ITA,paypal
34,563,2025-11-28 08:07:06,1288.06,delivered,AUS,paypal
35,589,2025-11-28 08:06:58,1277.22,cancelled,ITA,credit_card
36,79,2025-11-28 08:06:42,3555.15,cancelled,DEU,paypal
37,494,2025-11-28 08:07:06,979.12,shipped,FRA,paypal
38,987,2025-11-28 08:02:08,2537.19,shipped,FRA,stripe
39,707,2025-11-28 08:02:43,775.58,paid,ESP,stripe
40,322,2025-11-28 08:02:31,609.63,pending,ESP,credit_card
41,709,2025-11-28 08:04:59,1895.55,shipped,CAN,credit_card
42,500,2025-11-28 08:03:36,2606.02,paid,DEU,credit_card
43,580,2025-11-28 08:03:14,2251.71,delivered,DEU,credit_card
44,715,2025-11-28 08:02:22,883.54,shipped,ITA,paypal
45,225,2025-11-28 08:04:46,1415.55,shipped,DEU,stripe
46,457,2025-11-28 08:06:28,1385.77,delivered,ESP,paypal
47,360,2025-11-28 08:07:14,1386.93,paid,FRA,stripe
48,565,2025-11-28 08:04:07,1518.55,pending,AUS,stripe
49,16,2025-11-28 08:01:39,14.03,paid,CAN,stripe
50,449,2025-11-28 08:05:46,1517.27,paid,ESP,credit_card
51,695,2025-11-28 08:02:20,2530.89,paid,USA,stripe
52,723,2025-11-28 08:02:22,451.45,paid,AUS,credit_card
53,362,2025-11-28 08:07:16,159.56,delivered,FRA,paypal
54,439,2025-11-28 08:07:22,511.11,paid,ITA,credit_card
55,128,2025-11-28 08:04:21,1893.69,delivered,ESP,credit_card
56,923,2025-11-28 08:05:56,1518.5,delivered,USA,paypal
57,703,2025-11-28 08:02:30,199.86,paid,ESP,paypal
58,748,2025-11-28 08:05:09,1958.03,paid,ESP,credit_card
59,106,2025-11-28 08:01:55,2496.93,shipped,GBR,paypal
60,91,2025-11-28 08:03:12,1246.36,delivered,CAN,credit_card
61,35,2025-11-28 08:06:29,210.71,paid,GBR,credit_card
62,489,2025-11-28 08:02:15,1392.19,delivered,USA,credit_card
63,141,2025-11-28 08:02:11,1151.43,paid,AUS,paypal
64,983,2025-11-28 08:02:34,4919.8,shipped,ESP,paypal
65,733,2025-11-28 08:04:14,1015.78,paid,ESP,credit_card
66,426,2025-11-28 08:05:11,3011.81,paid,DEU,credit_card
67,860,2025-11-28 08:06:30,2006.67,delivered,ITA,stripe
68,114,2025-11-28 08:07:10,2494.39,delivered,DEU,paypal
69,525,2025-11-28 08:02:06,1954.09,shipped,CAN,credit_card
70,466,2025-11-28 08:06:24,2113.2,paid,ITA,paypal
71,732,2025-11-28 08:01:52,1251.38,paid,GBR,stripe
72,13,2025-11-28 08:06:16,319.9,delivered,CAN,credit_card
73,925,2025-11-28 08:04:38,3930.22,shipped,DEU,paypal
74,776,2025-11-28 08:04:47,1706.96,paid,ESP,paypal
75,627,2025-11-28 08:05:23,238.53,delivered,DEU,stripe
76,571,2025-11-28 08:01:56,1492.22,delivered,ITA,paypal
77,571,2025-11-28 08:04:23,3093.35,paid,ITA,credit_card
78,98,2025-11-28 08:04:57,1422.85,paid,ESP,credit_card
79,79,2025-11-28 08:02:40,38.67,pending,DEU,paypal
80,596,2025-11-28 08:05:56,952.51,shipped,USA,credit_card
81,723,2025-11-28 08:01:53,313.56,delivered,AUS,credit_card
82,699,2025-11-28 08:07:07,134.72,delivered,AUS,paypal
83,424,2025-11-28 08:03:43,803.28,paid,ESP,paypal
84,970,2025-11-28 08:06:24,1111.57,paid,CAN,credit_card
85,623,2025-11-28 08:06:39,1705.44,delivered,CAN,stripe
86,761,2025-11-28 08:05:44,634.72,paid,ESP,credit_card
87,7,2025-11-28 08:03:03,1700.99,delivered,CAN,paypal
88,183,2025-11-28 08:06:21,3301.11,paid,FRA,stripe
89,104,2025-11-28 08:06:56,1411.17,paid,ITA,paypal
90,120,2025-11-28 08:04:33,732.53,delivered,ESP,stripe
91,278,2025-11-28 08:05:23,2112.58,delivered,ESP,stripe
92,151,2025-11-28 08:07:12,2050.83,shipped,FRA,stripe
93,416,2025-11-28 08:07:24,1454.09,cancelled,ESP,paypal
94,934,2025-11-28 08:04:57,2162.32,paid,FRA,credit_card
95,783,2025-11-28 08:02:07,1766.05,shipped,DEU,paypal
96,738,2025-11-28 08:05:41,3099.19,paid,DEU,paypal
97,21,2025-11-28 08:06:23,78.74,paid,ITA,credit_card
98,554,2025-11-28 08:05:47,1803.65,delivered,DEU,credit_card
99,983,2025-11-28 08:01:40,1394.78,paid,ESP,paypal
100,761,2025-11-28 08:03:24,2389.04,paid,ESP,paypal
101,865,2025-11-28 08:05:04,2528.79,delivered,ITA,credit_card
102,419,2025-11-28 08:04:37,366.85,delivered,AUS,stripe
103,314,2025-11-28 08:03:00,1314.86,delivered,AUS,stripe
104,388,2025-11-28 08:04:13,2336.78,delivered,GBR,stripe
105,97,2025-11-28 08:04:12,1260.48,delivered,AUS,credit_card
106,305,2025-11-28 08:05:13,1182.64,shipped,USA,stripe
107,18,2025-11-28 08:05:41,3333.54,paid,DEU,credit_card
108,305,2025-11-28 08:05:00,3312.33,shipped,USA,paypal
109,908,2025-11-28 08:07:26,2111.11,paid,AUS,paypal
110,138,2025-11-28 08:04:02,42.09,cancelled,ITA,credit_card
111,859,2025-11-28 08:07:25,3147.86,paid,ITA,stripe
112,341,2025-11-28 08:06:50,1330.95,paid,AUS,stripe
113,527,2025-11-28 08:06:12,898.0,delivered,CAN,stripe
114,372,2025-11-28 08:06:00,1239.68,delivered,GBR,stripe
115,709,2025-11-28 08:05:54,426.0,paid,CAN,stripe
116,390,2025-11-28 08:02:19,3419.25,delivered,ESP,credit_card
117,730,2025-11-28 08:05:17,2564.88,paid,DEU,credit_card
118,892,2025-11-28 08:03:27,3675.78,paid,CAN,credit_card
119,150,2025-11-28 08:05:04,65.34,paid,CAN,paypal
120,295,2025-11-28 08:07:31,230.26,paid,FRA,stripe
121,85,2025-11-28 08:02:28,2699.81,paid,GBR,stripe
122,993,2025-11-28 08:05:07,42.09,delivered,ESP,credit_card
123,564,2025-11-28 08:07:35,1076.56,paid,USA,stripe
124,483,2025-11-28 08:05:58,724.62,paid,FRA,paypal
125,882,2025-11-28 08:01:39,1439.69,paid,DEU,stripe
126,178,2025-11-28 08:03:59,3092.01,shipped,USA,stripe
127,517,2025-11-28 08:02:10,1345.06,shipped,AUS,credit_card
128,437,2025-11-28 08:04:14,1397.5,paid,ITA,paypal
129,848,2025-11-28 08:05:52,503.9,paid,GBR,paypal
130,913,2025-11-28 08:02:47,688.67,pending,DEU,paypal
131,103,2025-11-28 08:05:35,3512.39,delivered,GBR,paypal
132,741,2025-11-28 08:05:11,181.06,shipped,AUS,paypal
133,920,2025-11-28 08:02:12,667.09,cancelled,DEU,credit_card
134,199,2025-11-28 08:04:32,956.06,pending,DEU,credit_card
135,392,2025-11-28 08:03:54,2087.96,delivered,CAN,paypal
136,5,2025-11-28 08:03:16,889.85,delivered,AUS,credit_card
137,673,2025-11-28 08:05:50,1037.97,paid,USA,stripe
138,596,2025-11-28 08:04:27,3879.38,delivered,USA,credit_card
139,973,2025-11-28 08:03:24,879.93,shipped,GBR,credit_card
140,289,2025-11-28 08:02:03,379.74,delivered,AUS,credit_card
141,267,2025-11-28 08:05:42,2244.88,shipped,ESP,paypal
142,348,2025-11-28 08:06:12,563.53,paid,USA,credit_card
143,999,2025-11-28 08:06:51,1228.73,cancelled,CAN,stripe
144,994,2025-11-28 08:07:30,1765.71,delivered,CAN,credit_card
145,5,2025-11-28 08:06:57,4089.0,shipped,AUS,credit_card
146,331,2025-11-28 08:02:20,1159.34,shipped,DEU,stripe
147,90,2025-11-28 08:02:17,1482.13,shipped,USA,paypal
148,583,2025-11-28 08:02:50,3590.27,delivered,USA,stripe
149,566,2025-11-28 08:04:50,317.12,shipped,ITA,paypal
150,166,2025-11-28 08:06:42,899.85,delivered,DEU,credit_card
151,524,2025-11-28 08:06:36,705.16,paid,CAN,stripe
152,73,2025-11-28 08:04:26,43.74,paid,FRA,paypal
153,345,2025-11-28 08:02:08,3703.24,shipped,DEU,credit_card
154,733,2025-11-28 08:02:35,1695.84,shipped,ESP,paypal
155,920,2025-11-28 08:02:55,746.58,paid,DEU,stripe
156,676,2025-11-28 08:06:03,2333.67,paid,FRA,paypal
157,91,2025-11-28 08:05:25,915.08,paid,CAN,credit_card
158,594,2025-11-28 08:04:41,1010.57,paid,CAN,paypal
159,431,2025-11-28 08:02:08,1801.08,paid,USA,credit_card
160,823,2025-11-28 08:06:43,21.04,paid,ITA,credit_card
161,313,2025-11-28 08:05:10,1426.81,paid,AUS,paypal
162,494,2025-11-28 08:04:45,1208.73,shipped,FRA,credit_card
163,970,2025-11-28 08:03:45,1641.79,delivered,CAN,paypal
164,723,2025-11-28 08:02:01,1032.63,shipped,AUS,credit_card
165,13,2025-11-28 08:02:05,2026.61,paid,CAN,stripe
166,256,2025-11-28 08:07:00,79.92,paid,AUS,stripe
167,965,2025-11-28 08:04:19,399.31,paid,ESP,stripe
168,209,2025-11-28 08:05:48,2011.06,paid,FRA,stripe
169,38,2025-11-28 08:05:18,863.5,shipped,USA,paypal
170,630,2025-11-28 08:03:50,43.74,delivered,DEU,credit_card
171,633,2025-11-28 08:04:11,3052.68,delivered,DEU,credit_card
172,953,2025-11-28 08:04:56,4007.45,paid,AUS,paypal
173,464,2025-11-28 08:05:57,2480.29,delivered,CAN,credit_card
